rule_id;cf;condition;conclusion;explanation
R023;0.6;F007 & F055;F043;Нравятся игры и визуальные задачи → возможна склонность к frontend (UI)
R024;0.7;F033 & F004;F043;Командная работа и дизайн → склонность к frontend в продуктовых командах
R025;0.65;F015 & F009;F043;Продуктовое мышление и веб → склонность к frontend, ближе к продукту
R026;0.8;F053 & F055;F043;Предпочитает высокоуровневые технологии и визуальные задачи → frontend
;;;;
R027;0.9;F042 & F043;F044;Есть склонность и к backend, и к frontend → fullstack
R028;0.8;F009 & F019 & F016;F044;Интерес к вебу, JS и Python → склонность к fullstack
R029;0.75;F009 & F019 & F017;F044;Интерес к вебу, JS и Java → возможен fullstack
R030;0.7;F009 & F019 & F018;F044;Интерес к вебу, JS и C# → возможен fullstack на .NET
R031;0.6;F042 & F055;F044;Backend + интерес к визуальным задачам → возможен fullstack
R032;0.6;F043 & F003;F044;Frontend + интерес к алгоритмам → возможен fullstack
R033;0.6;F044;F042;Fullstack обычно включает backend → усиливаем склонность к backend
R034;0.6;F044;F043;Fullstack включает frontend → усиливаем склонность к frontend
;;;;
R035;0.9;F001 & F002 & F010;F045;Любит математику, статистику и данные → сильная склонность к data science
R036;0.85;F010 & F016 & F026;F045;Любит анализ данных, знает Python и основы статистики → склонность к data science
R037;0.8;F056 & F016;F045;Предпочитает задачи с данными и знает Python → склонность к data science
R038;0.75;F001 & F025;F045;Любит математику и знает основы ML → склонность к data science
R039;0.7;F011 & F056;F045;Нравится исследовательская деятельность и данные → склонность к data science
R040;0.65;F036 & F056;F045;Средняя математика и интерес к данным → возможна траектория data science при доучивании
R041;0.6;F040 & F056;F045;Хороший английский и интерес к данным → проще осваивать data science
R042;0.7;F015 & F056;F047;Продуктовое мышление и интерес к данным → скорее аналитика, чем чистый data science
;;;;
R043;0.9;F035 & F038 & F025;F046;Сильная математика, теория CS и основы ML → сильная склонность к ML
R044;0.8;F035 & F001 & F002;F046;Очень любит математику и статистику → склонность к ML-специализации
R045;0.75;F045 & F035;F046;Уже тянет к data science и сильная математика → можно углубляться в ML
R046;0.6;F046 & F037;F045;Интерес к ML, но слабая математика → лучше сначала базовый data science
R047;0.65;F011 & F046;F052;ML и интерес к исследованиям → склонность к академической карьере в ML
R048;0.85;F010 & F015;F047;Анализ данных и продуктовое мышление → аналитика
R049;0.8;F002 & F021;F047;Статистика и SQL → склонность к аналитике данных
R050;0.75;F056 & F031;F047;Предпочитает задачи с данными и хочет быстро войти в IT → прикладная аналитика
R051;0.7;F040 & F047;F047;Хороший английский усиливает перспективы в аналитике
R052;0.6;F037 & F047;F047;Слабая математика допускается в аналитике при акценте на бизнес-часть
;;;;
R053;0.9;F007 & F018;F048;Нравятся игры и есть C# → склонность к разработке игр (Unity)
R054;0.85;F007 & F020;F048;Нравятся игры и C/C++ → склонность к геймдеву (движки)
R055;0.8;F007 & F055;F048;Нравятся игры и визуальные задачи → склонность к геймдеву
R056;0.7;F007 & F006;F048;Игры и системное программирование → склонность к движковой части геймдева
R057;0.65;F048 & F054;F048;Геймдев и низкоуровневые предпочтения → усиление интереса к геймдеву движковому
;;;;
R058;0.9;F008 & F017;F049;Интерес к мобильной разработке и Java → склонность к Android-разработке
R059;0.85;F008 & F018;F049;Интерес к мобильной разработке и C# → склонность к cross-platform
R060;0.8;F008 & F019;F049;Интерес к мобильной разработке и JS → возможны гибридные/React Native решения
R061;0.75;F008 & F053;F049;Интерес к мобильной и высокоуровневые технологии → склонность к мобильной разработке
R062;0.7;F043 & F008;F049;Frontend-интерес и мобильная разработка → хорошая база для mobile UI
;;;;
R063;0.9;F013 & F023 & F024;F050;Инфраструктура, Linux и Git → сильная склонность к DevOps
R064;0.85;F014 & F023 & F016;F050;Автоматизация, Linux и Python → склонность к DevOps/SRE
R065;0.8;F057 & F013;F050;Инфраструктурные задачи и интерес к ним → склонность к DevOps
R066;0.7;F042 & F050;F050;Backend + DevOps → возможно смещение к DevOps-инженеру
R067;0.75;F029 & F050;F050;Желание стабильности и DevOps → хорошее сочетание для инфраструктурной роли
;;;;
R068;0.9;F012 & F033;F051;Интерес к управлению и командной работе → склонность к менеджменту
R069;0.85;F015 & F012;F051;Продуктовое мышление и менеджмент → продакт/проект-менеджмент
R070;0.8;F047 & F012;F051;Аналитика и интерес к управлению → менеджмент в data-направлении
R071;0.75;F028 & F051;F051;Высокая зарплата и менеджмент → закрепляем ориентацию на менеджмент
R072;0.7;F034 & F012;F051;Любит управлять, но работать индивидуально → управление продуктом/направлением
;;;;
R073;0.9;F011 & F035 & F038;F052;Интерес к исследованиям, сильная математика и теория → склонность к академической карьере
R074;0.8;F011 & F046;F052;ML и исследования → академическая деятельность в ML/AI
R075;0.75;F011 & F045;F052;Data science и исследования → склонность к исследовательским ролям
R076;0.7;F011 & F042;F052;Backend и исследования → возможна академическая/инженерная карьера в системах
R077;0.6;F040 & F052;F052;Хороший английский усиливает возможности в исследованиях
;;;;
R078;0.9;F042 & F028;F058;Склонность к backend и важна высокая зарплата → траектория backend-разработчика
R079;0.85;F042 & F031;F058;Склонность к backend и желание быстро войти в IT → backend (junior)
R080;0.8;F042 & F027;F058;Склонность к backend и желание удалёнки → backend-разработчик с возможностью remote
R081;0.75;F042 & F029;F058;Склонность к backend и желание стабильности → backend в продуктовой/корпоративной разработке
R082;0.7;F042 & F041;F058;Склонность к backend и базовый английский → старт с локальных проектов как backend-разработчик
;;;;
R083;0.9;F043 & F055;F059;Склонность к frontend и визуальным задачам → путь frontend-разработчика
R084;0.85;F043 & F031;F059;Frontend и желание быстро войти в IT → старт во frontend (junior)
R085;0.8;F043 & F027;F059;Frontend и желание удалённой работы → frontend-разработчик с remote-вакансиями
R086;0.75;F043 & F030;F059;Frontend и гибкий график → путь frontend-фриланса/проектной работы
R087;0.7;F043 & F041;F059;Frontend и базовый английский → старт с локальных веб-проектов
;;;;
R088;0.9;F044 & F028;F060;Склонность к fullstack и высокая зарплата → fullstack-разработчик
R089;0.85;F044 & F032;F060;Fullstack и готовность долго учиться → постепенное освоение fullstack-навыков
R090;0.8;F044 & F027;F060;Fullstack и желание удалёнки → востребованный fullstack-разработчик с remote-форматом
R091;0.75;F044 & F033;F060;Fullstack и командная работа → роль fullstack в продуктовой команде
R092;0.7;F044 & F030;F060;Fullstack и гибкий график → маршруты через стартапы/фриланс как fullstack
;;;;
R093;0.9;F045 & F035 & F040;F061;Склонность к data science, сильная математика и английский → путь Data Scientist
R094;0.85;F045 & F032;F061;Data science и готовность долго учиться → траектория Data Scientist
R095;0.8;F045 & F028;F061;Data science и высокая зарплата → путь к Data Scientist
R096;0.75;F045 & F034;F061;Data science и индивидуальная работа → исследовательский/аналитический путь Data Scientist
R097;0.7;F045 & F041;F063;Data science и базовый английский → лучше начать с аналитика данных
;;;;
R098;0.9;F046 & F011;F062;Склонность к ML и исследованиям → путь ML Engineer с R&D-уклоном
R099;0.85;F046 & F028;F062;Склонность к ML и высокая зарплата → траектория ML Engineer
R100;0.8;F046 & F032;F062;ML и готовность долго учиться → постепенный путь ML Engineer
R101;0.75;F046 & F040;F062;ML и хороший английский → больше возможностей как ML Engineer
R102;0.7;F046 & F027;F062;ML и желание удалёнки → многие вакансии ML Engineer доступны удалённо
;;;;
R103;0.9;F047 & F031;F063;Склонность к аналитике и быстрый вход → путь аналитика данных
R104;0.85;F047 & F015;F063;Аналитика и продуктовое мышление → аналитик в продуктовой команде
R105;0.8;F047 & F027;F063;Аналитика и желание удалёнки → аналитик данных с remote-форматом
R106;0.75;F047 & F040;F063;Аналитика и английский → расширенный рынок для аналитика данных
R107;0.7;F047 & F037;F063;Аналитика и слабая математика → упор на бизнес-аналитику/продуктовую аналитику
;;;;
R108;0.9;F048 & F018;F064;Склонность к геймдеву и C# → разработчик игр на Unity
R109;0.85;F048 & F020;F064;Склонность к геймдеву и C/C++ → разработчик движковой части игр
R110;0.8;F048 & F055;F064;Геймдев и визуальные задачи → разработчик игрового UI/геймплея
R111;0.75;F048 & F028;F064;Геймдев и высокая зарплата → путь в крупные игровые студии
R112;0.7;F048 & F031;F064;Геймдев и быстрый вход → старт с инди-проектов и небольших студий
;;;;
R113;0.9;F049 & F031;F065;Склонность к мобильной и быстрый вход → путь mobile-разработчика (junior)
R114;0.85;F049 & F027;F065;Mobile и желание удалёнки → мобильная разработка с возможностью remote
R115;0.8;F049 & F028;F065;Mobile и высокая зарплата → востребованный mobile-разработчик
R116;0.75;F049 & F055;F065;Mobile и визуальные задачи → разработчик мобильного UI
R117;0.7;F049 & F033;F065;Mobile и командная работа → работа в мобильных продуктовых командах
;;;;
R118;0.9;F050 & F014;F066;Склонность к DevOps и автоматизации → путь DevOps Engineer
R119;0.85;F050 & F029;F066;DevOps и стабильность → DevOps в корпоративной/продуктовой компании
R120;0.8;F050 & F028;F066;DevOps и высокая зарплата → DevOps Engineer
R121;0.75;F050 & F057;F066;DevOps и инфраструктурные задачи → DevOps/SRE-инженер
R122;0.7;F050 & F027;F066;DevOps и желание удалёнки → возможна удалённая работа DevOps Engineer
;;;;
R123;0.9;F051 & F015;F067;Менеджмент и продуктовое мышление → путь Product Manager
R124;0.85;F051 & F047;F067;Менеджмент и аналитика → продакт-менеджер, работающий с данными
R125;0.8;F051 & F028;F067;Менеджмент и высокая зарплата → путь Product Manager
R126;0.75;F051 & F027;F067;Менеджмент и желание удалёнки → возможны remote-роли продакта
R127;0.7;F051 & F033;F067;Менеджмент и командная работа → продакт-менеджер в продуктовой команде
;;;;
R128;0.9;F051 & F033 & F029;F068;Менеджмент, командная работа и стабильность → проектный менеджер в IT
R129;0.85;F051 & F053;F068;Менеджмент и абстрактное мышление → проектный менеджер в IT
R130;0.8;F051 & F040;F068;Менеджмент и английский → расширенные возможности project manager в IT
R131;0.75;F051 & F030;F068;Менеджмент и гибкий график → project manager в распределённых командах
R132;0.7;F051 & F034;F068;Менеджмент и индивидуальная работа → project manager с акцентом на координацию
;;;;
R133;0.9;F052 & F035;F069;Склонность к исследованиям и сильная математика → академический исследователь
R134;0.85;F052 & F046;F069;Исследования и ML → исследователь в ML/AI
R135;0.8;F052 & F045;F069;Исследования и data science → исследователь/научный сотрудник в data-направлении
R136;0.75;F052 & F040;F069;Исследования и английский → больше возможностей в международных проектах
R137;0.7;F052 & F032;F069;Исследования и готовность долго учиться → путь к аспирантуре и академической карьере
