rule_id;cf;condition;conclusion;explanation
R059;0.9;F045 & F059;F069;Battle pass и паттерн looter-shooter → кандидаты Fortnite, Apex Legends и PUBG по battle pass
R060;0.85;F045 & F058;F069;Battle pass и паттерн PC MOBA → кандидаты по battle pass из соревновательных игр
R061;0.9;F056 & F044;F070;Паттерн мобильного match-3 и мягкая F2P → кандидаты Candy Crush Saga и аналоги по монетизации
R062;0.85;F056 & F013;F070;Казуальная аудитория и паттерн match-3 → кандидаты Candy Crush Saga и подобные игры
;;;;
R063;0.9;F063 & F010 & F014;F071;Кандидаты Dead Cells/Hades, платформа ПК и midcore-аудитория → как референс боёвки лучше подойдёт Dead Cells
R064;0.9;F063 & F010 & F015;F072;Кандидаты Dead Cells/Hades, платформа ПК и хардкорная аудитория → как референс боёвки лучше подойдёт Hades
R065;0.85;F063 & F012 & F015;F072;Кандидаты Dead Cells/Hades, консоль и хардкорная аудитория → Hades как референс боёвки
R066;0.9;F064 & F010 & F015;F073;Кандидаты Dark Souls/Elden Ring, ПК и хардкорная аудитория → Dark Souls как базовый референс боёвки
R067;0.9;F064 & F012 & F015;F074;Кандидаты Dark Souls/Elden Ring, консоль и хардкорная аудитория → Elden Ring как современный референс боёвки
R068;0.8;F064 & F010 & F014;F073;Кандидаты Dark Souls/Elden Ring и midcore-аудитория на ПК → Dark Souls как более понятный референс
R069;0.9;F065 & F010 & F020;F075;Кандидаты Enter the Gungeon/Nuclear Throne, ПК и короткие сессии → Enter the Gungeon как референс боёвки
R070;0.85;F065 & F010 & F021;F076;Кандидаты Enter the Gungeon/Nuclear Throne, ПК и длинные сессии → Nuclear Throne как референс боёвки
R071;0.8;F063 & F011 & F014;F072;Dead Cells/Hades, мобильная платформа (потенциальный порт) и midcore → Hades как референс по боёвке и ритму
R072;0.75;F063 & F013 & F020;F071;Dead Cells/Hades, казуальная аудитория и короткие сессии → более понятный Dead Cells как референс
R073;0.8;F064 & F015 & F021;F074;Dark Souls/Elden Ring, хардкорная аудитория и длинные сессии → Elden Ring как референс боёвки и боссов
R074;0.75;F065 & F011 & F020;F075;Enter the Gungeon/Nuclear Throne, мобильная платформа и короткие сессии → Enter the Gungeon как референс боёвки
;;;;
R075;0.9;F066 & F010 & F014;F077;Кандидаты Hades/Dead Cells по прогрессии, ПК и midcore → Hades как референс прогрессии и метаигры
R076;0.9;F066 & F010 & F015;F078;Кандидаты Hades/Dead Cells по прогрессии, ПК и хардкор → Dead Cells как референс прогрессии
R077;0.85;F066 & F012 & F014;F077;Кандидаты Hades/Dead Cells, консоль и midcore → Hades как референс прогрессии
R078;0.85;F066 & F012 & F015;F078;Кандидаты Hades/Dead Cells, консоль и хардкор → Dead Cells как референс прогрессии
R079;0.9;F067 & F010 & F020;F079;Кандидаты Slay the Spire/Monster Train, ПК и короткие сессии → Slay the Spire как референс прогрессии
R080;0.85;F067 & F010 & F021;F080;Кандидаты Slay the Spire/Monster Train, ПК и длинные сессии → Monster Train как референс прогрессии
R081;0.8;F067 & F011 & F020;F079;Slay the Spire/Monster Train, мобильная платформа и короткие сессии → Slay the Spire как референс прогрессии
R082;0.8;F067 & F011 & F021;F080;Slay the Spire/Monster Train, мобильная платформа и длинные сессии → Monster Train как референс прогрессии
;;;;
R083;0.9;F068 & F057 & F011;F081;Кандидат Genshin Impact, паттерн мобильной gacha RPG и мобильная платформа → Genshin как референс монетизации gacha
R084;0.85;F068 & F046 & F011;F081;Gacha-профиль монетизации и мобильная платформа → Genshin Impact как референс монетизации
R085;0.9;F069 & F045 & F010;F082;Кандидаты battle pass-шутеров и профиль battle pass на ПК → Fortnite как референс монетизации через battle pass
R086;0.85;F069 & F045 & F012;F082;Кандидаты battle pass-шутеров и профиль battle pass на консолях → Fortnite как референс монетизации
R087;0.9;F070 & F056 & F011;F083;Кандидаты match-3 и паттерн мобильного match-3 → Candy Crush Saga как референс монетизации
R088;0.85;F070 & F044 & F011;F083;Кандидаты match-3 и мягкая F2P монетизация → Candy Crush Saga как референс
R089;0.8;F069 & F022 & F010;F084;Кандидаты battle pass и наличие премиум-покупки на ПК → Rocket League как пример гибридной монетизации
R090;0.8;F069 & F022 & F012;F085;Кандидаты battle pass и премиум/консоль → PUBG/Apex как пример монетизации через премиум+battle pass
R091;0.8;F068 & F057 & F010;F081;Genshin Impact и gacha-паттерн на ПК → референс монетизации gacha
R092;0.8;F070 & F056 & F013;F083;Match-3 паттерн и казуальная аудитория → Candy Crush Saga как референс монетизации для казуалов
;;;;
R093;0.9;F048 & F059;F086;Профиль управления ПК (клавиатура+мышь) и паттерн looter-shooter → референс управления в духе Doom Eternal / Destiny
R094;0.85;F052 & F058;F087;MOBA-управление на ПК и паттерн PC MOBA → референс управления League of Legends/Dota 2
R095;0.9;F050 & F056;F088;Управление одной рукой и паттерн мобильного match-3 → референс управления Clash Royale/подобные
R096;0.9;F051 & F057;F089;Управление двумя руками и паттерн мобильной gacha RPG → референс управления Genshin Impact
R097;0.85;F048 & F053 & F016;F090;ПК-управление, паттерн 2D action-roguelite и фокус на боёвке → референс точного управления Celeste/Hollow Knight
R098;0.8;F049 & F054;F086;Геймпад и паттерн 3D souls-like → референс управления из консольных action-игр
R099;0.8;F049 & F061;F090;Геймпад и паттерн изометрической ARPG → пример отзывчивого управления персонажем (например, Diablo III)
R100;0.8;F050 & F070;F088;Управление одной рукой и кандидаты match-3 → референс управления для простых жестов/тапов
R101;0.75;F051 & F068;F089;Управление двумя руками и кандидат Genshin Impact → референс сложного мобильного управления
R102;0.75;F048 & F058;F087;ПК-управление и паттерн MOBA → референс управления League of Legends/Dota 2
;;;;
R103;0.9;F053 & F037;F093;Паттерн 2D action-roguelite и run-based прогрессия → референс структуры комнат Hades/Dead Cells
R104;0.85;F053 & F040 & F016;F093;2D roguelite, выраженная мета-прогрессия и фокус на боёвке → референс комнат и биомов Hades
R105;0.9;F062 & F039;F092;Паттерн open world action-RPG и прогрессия открытого мира → референс левел-дизайна Breath of the Wild/Elden Ring
R106;0.85;F062 & F015;F092;Open world action-RPG и хардкорная аудитория → референс открытого мира Elden Ring
R107;0.85;F061 & F041;F091;Изометрическая ARPG с лутом и лут-ориентированная прогрессия → референс метроидвании/ARPG структур (Hollow Knight/Diablo)
R108;0.8;F059 & F041;F095;Паттерн looter-shooter и лут-ориентированная прогрессия → референс структур уровней Destiny/Borderlands
R109;0.8;F060 & F042;F095;Roguelike deckbuilder и прогрессия через колоду → референс структуры «ветвящихся» забегов (Slay the Spire)
R110;0.85;F056 & F044;F095;Мобильный match-3 и мягкая F2P → референс структуры сотен коротких уровней Candy Crush
R111;0.9;F058 & F040;F094;Паттерн PC MOBA и мета-прогрессия → референс дизайна трёхлинейной карты (Summoner’s Rift)
R112;0.8;F058 & F039;F094;MOBA-паттерн и элементы нелинейного прогресса → референс вариаций карт и режимов в MOBA
;;;;
R113;0.9;F066 & F040;F096;Кандидаты Hades/Dead Cells и профиль мета-прогрессии → референс мета-прогрессии Hades/Rogue Legacy
R114;0.85;F066 & F037;F096;Hades/Dead Cells и run-based прогрессия → референс мета-прогрессии через улучшения между забегами
R115;0.9;F067 & F042;F099;Кандидаты Slay the Spire/Monster Train и deckbuilder-прогрессия → референс мета-прогрессии через разблокировку карт
R116;0.85;F067 & F037;F099;Slay the Spire/Monster Train и run-based структура → референс мета-прогрессии в roguelike deckbuilder-играх
R117;0.9;F058 & F040;F100;Паттерн PC MOBA и мета-прогрессия → референс долгосрочной прогрессии аккаунта в League of Legends/Dota 2
R118;0.85;F058 & F023;F100;PC MOBA и F2P-монетизация → референс мета-прогрессии и прогресса игроков в MOBA
R119;0.9;F069 & F045;F097;Кандидаты battle pass-шутеров и профиль battle pass → референс сезонной мета-прогрессии через battle pass
R120;0.85;F069 & F040;F097;Battle pass и мета-прогрессия → референс сезонной прогрессии (Fortnite/Apex)
R121;0.9;F068 & F046;F098;Кандидат Genshin Impact и gacha-профиль → референс долгосрочной gacha-мета-прогрессии
R122;0.85;F068 & F037;F098;Genshin Impact и run-based/ивентовая структура → референс прогрессии через события и баннеры
