fact_id;fact_code;kind;default_cf;description
F057;pattern_mobile_gacha_rpg;intermediate;1;Паттерн игры: мобильная gacha RPG
F058;pattern_pc_moba;intermediate;1;Паттерн игры: ПК MOBA
F059;pattern_pc_looter_shooter;intermediate;1;Паттерн игры: ПК looter-shooter
F060;pattern_deckbuilder_roguelike;intermediate;1;Паттерн игры: roguelike deckbuilder
F061;pattern_isometric_arpg_looter;intermediate;1;Паттерн игры: изометрическая ARPG с лутом
F062;pattern_open_world_action_rpg;intermediate;1;Паттерн игры: action-RPG в открытом мире
F063;candidates_combat_dead_cells_hades;intermediate;1;Набор референсов по боёвке: Dead Cells, Hades
F064;candidates_combat_dark_souls_elden_ring;intermediate;1;Набор референсов по боёвке: Dark Souls, Elden Ring
F065;candidates_combat_enter_gungeon_nuclear_throne;intermediate;1;Набор референсов по боёвке: Enter the Gungeon, Nuclear Throne
F066;candidates_progression_hades_dead_cells;intermediate;1;Набор референсов по прогрессии: Hades, Dead Cells
F067;candidates_progression_slay_the_spire_monster_train;intermediate;1;Набор референсов по прогрессии: Slay the Spire, Monster Train
F068;candidates_monetization_genshin_impact;intermediate;1;Набор референсов по монетизации: Genshin Impact
F069;candidates_monetization_battle_pass_shooters;intermediate;1;Набор референсов по монетизации battle pass: Fortnite, Apex Legends, PUBG
F070;candidates_monetization_match3;intermediate;1;Набор референсов по монетизации match-3: Candy Crush Saga и аналоги
F071;rec_combat_dead_cells;target;1;Рекомендация по боёвке: посмотреть Dead Cells
F072;rec_combat_hades;target;1;Рекомендация по боёвке: посмотреть Hades
F073;rec_combat_dark_souls;target;1;Рекомендация по боёвке: посмотреть Dark Souls
F074;rec_combat_elden_ring;target;1;Рекомендация по боёвке: посмотреть Elden Ring
F075;rec_combat_enter_the_gungeon;target;1;Рекомендация по боёвке: посмотреть Enter the Gungeon
F076;rec_combat_nuclear_throne;target;1;Рекомендация по боёвке: посмотреть Nuclear Throne
F077;rec_progression_hades;target;1;Рекомендация по прогрессии: посмотреть Hades
F078;rec_progression_dead_cells;target;1;Рекомендация по прогрессии: посмотреть Dead Cells
F079;rec_progression_slay_the_spire;target;1;Рекомендация по прогрессии: посмотреть Slay the Spire
F080;rec_progression_monster_train;target;1;Рекомендация по прогрессии: посмотреть Monster Train
F081;rec_monetization_genshin_impact;target;1;Рекомендация по монетизации: посмотреть Genshin Impact
F082;rec_monetization_fortnite;target;1;Рекомендация по монетизации: посмотреть Fortnite
F083;rec_monetization_candy_crush;target;1;Рекомендация по монетизации: посмотреть Candy Crush Saga
F084;rec_monetization_rocket_league;target;1;Рекомендация по монетизации: посмотреть Rocket League
F085;rec_monetization_pubg;target;1;Рекомендация по монетизации: посмотреть PUBG / Apex Legends
F086;rec_control_pc_action;target;1;Рекомендация по управлению: посмотреть Devil May Cry 5 / Doom Eternal
F087;rec_control_pc_moba;target;1;Рекомендация по управлению: посмотреть League of Legends / Dota 2
F088;rec_control_mobile_one_hand;target;1;Рекомендация по управлению: посмотреть Clash Royale / Archero
F089;rec_control_mobile_two_hands;target;1;Рекомендация по управлению: посмотреть Genshin Impact / Honkai Star Rail
F090;rec_control_platformer_precise;target;1;Рекомендация по управлению: посмотреть Celeste / Hollow Knight
F091;rec_level_design_metroidvania;target;1;Рекомендация по левел-дизайну: посмотреть Hollow Knight / Ori
F092;rec_level_design_open_world;target;1;Рекомендация по левел-дизайну: посмотреть The Legend of Zelda: Breath of the Wild / Elden Ring
F093;rec_level_design_roguelite_rooms;target;1;Рекомендация по левел-дизайну: посмотреть структуру комнат в Hades / Dead Cells
F094;rec_level_design_lanes_moba;target;1;Рекомендация по левел-дизайну: посмотреть карту Summoner’s Rift / аналогичные MOBA карты
F095;rec_level_design_match3;target;1;Рекомендация по левел-дизайну: посмотреть структуру уровней в Candy Crush Saga
F096;rec_meta_progression_roguelite;target;1;Рекомендация по мета-прогрессии: посмотреть Hades / Rogue Legacy
F097;rec_meta_progression_battle_pass;target;1;Рекомендация по мета-прогрессии: посмотреть battle pass в Fortnite / Apex Legends
F098;rec_meta_progression_gacha;target;1;Рекомендация по мета-прогрессии: посмотреть долгосрочную прогрессию в Genshin Impact
F099;rec_meta_progression_deckbuilder;target;1;Рекомендация по мета-прогрессии: посмотреть Slay the Spire / Monster Train
F100;rec_meta_progression_moba;target;1;Рекомендация по мета-прогрессии: посмотреть progression-системы в League of Legends / Dota 2
